,Title,Brand,Rating_out_five,Rating,Price,Discount
146,"Bacca Bucci® Men's Energy Afterburn Disruptor for Multiple Sports,Fashion, Party & Fun Shoes/Sneakers",Bacca bucci Shoes,"6,210 ratings", 3.7 ,"1,199",-52%
147,Cruiser Mens Spade Sneakers | Casual Shoes | Experience Comfort & Style with Soft Cushioned Insole | Trendy Lace-Up Design Perfect for Daily Adventures,Cocoblu Retail,285 ratings, 3.7 ,"1,039",-58%
148,LUDIC Nova Vegan Leather and Suede Sneakers for Men | Classic Beige Sneakers with All Day Comfort,GOOD CHAOS LIFESTYLE PRIVATE LIMITED,7 ratings, 4.8 ,"1,399",-60%
149,Puma Unisex-Adult Shoes,BRAND 27,91 ratings, 3.9 ,"2,199",-33%
150,Puma Unisex-Adult Caven 2.0 Lux Sneaker,Sooperbuy Pvt Ltd,11 ratings, 4.4 ,"3,899",-40%
151,Puma Unisex-Adult Hypnotic Res Sneaker,Cocoblu Retail,2 ratings, 3.0 ,"3,499",-50%
152,Puma Unisex Court Ultra Lite Sneaker,Sooperbuy Pvt Ltd,202 ratings, 4.2 ,"3,599",-40%
153,Puma Men's Court Shatter Low Sneaker,Puma Sports India,232 ratings, 4.1 ,"2,699",-55%
154,Puma Mens Future Rider Play on Sneaker,Puma Sports India,151 ratings, 4.2 ,"5,399",-40%
155,Puma Unisex Ferrari Drift Cat 8 Sneaker,Cocoblu Retail,"1,175 ratings", 4.0 ,"3,286",-59%
156,Centrino Mens 6574 Casual Sneaker Shoes | Lightweight Sneakers | Trendy Lace-up Design | Soft Cushioned Insole | Stylish & Comfortable,Cocoblu Retail,177 ratings, 4.0 ,819,-67%
157,Puma Unisex-Adult Up Sneaker,Cocoblu Retail,504 ratings, 4.1 ,"2,459",-39%
158,Puma Unisex Club II Sneaker,Cocoblu Retail,108 ratings, 4.6 ,"2,145",-61%
159,Puma Unisex Rebound Future EVO Core Res Sneaker,Puma Sports India,NaN,,"3,369",-55%
160,Puma Men's Trinity Lite Sneaker,Cocoblu Retail,169 ratings, 4.2 ,"2,520",-64%
161,Puma Unisex-Adult Trinity Mid Hybrid Sneaker,Cocoblu Retail,39 ratings, 4.0 ,"4,949",-45%
162,Puma Unisex Shuffle RES Sneaker,NaN,31 ratings,4.4,"2,640.",0
163,Puma Unisex-Adult -180 Sneaker,Cocoblu Retail,10 ratings, 3.3 ,"6,825.",-38%
164,Puma Men's Tour Sneaker,Puma Sports India,27 ratings, 4.4 ,"1,929",-57%
165,Puma Unisex Smash Comfort Sneaker,Cocoblu Retail,17 ratings, 3.5 ,"2,104",-47%
